tier,geography,outcome,estimate,se,conf_low,conf_high,p,n,clusters,primary,state,year
gp_head,block_id,illiterate,0.0934937924958036,0.00351553955900062,0.08659330111413237,0.10039428387747486,6.327493513241369e-113,59019,823,NA,Uttar Pradesh,2015
gp_head,block_id,graduate_plus,-0.07411924685558516,0.00357670248273506,-0.08114114515532507,-0.06709734855584525,2.5613577346692695e-75,47228,728,NA,Uttar Pradesh,2021
gp_head,block_id,illiterate,0.08242917874215919,0.00360338549295259,0.07535489549148112,0.08950346199283725,1.1587179943254177e-87,47228,728,NA,Uttar Pradesh,2021
gp_head,block_id,age,-1.2911289608874368,0.10680527851756463,-1.500812547164436,-1.0814453746104375,8.729090532436265e-31,49757,728,NA,Uttar Pradesh,2021
gp_head,block_id,graduate_plus,-0.0693858074040786,0.0105574613558075,-0.09014964766048938,-0.0486219671476678,1.7945412393019127e-10,7748,352,NA,Rajasthan,2020
gp_head,block_id,illiterate,8.200052576381238e-4,7.953877041230017e-4,-7.443199786781341e-4,0.00238433049395438,0.3032739401836055,7748,352,NA,Rajasthan,2020
gp_head,block_id,age,-1.6702487080464248,0.30271455552208976,-2.2656112163537365,-1.0748861997391133,6.685594404015277e-8,11113,352,NA,Rajasthan,2020
block_member,block_id,graduate_plus,-0.04079352907420155,0.01933009782535721,-0.07899005710312848,-0.00259700104527461,0.03649754269580953,1913,150,NA,Kerala,2010
block_member,block_id,age,-4.878896746854854,0.46886374379657336,-5.805327117686647,-3.95246637602306,1.9863278553560132e-19,1980,151,NA,Kerala,2010
gp_ward,district,graduate_plus,-0.00524102788334136,0.0086010192596239,-0.02382240030546565,0.01334034453878292,0.5527938306269553,15024,14,NA,Kerala,2010
gp_ward,district,age,-4.8442501796577355,0.4872260442894149,-5.896838054352939,-3.791662304962532,1.923642611246431e-7,14793,14,NA,Kerala,2010
zp_member,district,graduate_plus,-0.04250679502697142,0.04561893693410752,-0.1410605165205701,0.05604692646662728,0.36843282136249345,302,14,NA,Kerala,2010
zp_member,district,age,-4.21190295541262,1.4152973548076493,-7.269467000313765,-1.154338910511476,0.0107227602836811,330,14,NA,Kerala,2010
block_member,block_id,graduate_plus,-0.01219081478275942,0.0192773190928278,-0.05028729488020946,0.02590566531469061,0.5281134138476323,1815,148,NA,Kerala,2015
block_member,block_id,age,-3.919187942872514,0.4896362344517361,-4.886662788725843,-2.951713097019184,3.048224300197052e-13,2029,151,NA,Kerala,2015
gp_ward,district,graduate_plus,-0.00146047366133518,0.00663104162194904,-0.0157859681410941,0.01286502081842372,0.8290990704781138,14121,14,NA,Kerala,2015
gp_ward,district,age,-4.231007568413602,0.4570998472629875,-5.21851175131449,-3.2435033855127147,4.377445634690777e-7,15724,14,NA,Kerala,2015
zp_member,district,graduate_plus,-0.0781523958487575,0.0612852536140508,-0.21055113685992588,0.05424634516241089,0.2245489421880631,295,14,NA,Kerala,2015
zp_member,district,age,-3.0428318611676644,1.2651351906322448,-5.775990273197645,-0.3096734491376836,0.03177751567335722,327,14,NA,Kerala,2015
block_member,block_id,graduate_plus,-0.03540101783610774,0.01984634643594202,-0.07461982944422361,0.00381779377200812,0.07651270285522081,1850,149,NA,Kerala,2020
block_member,block_id,age,-3.1258549765869015,0.4547360277810056,-4.024321930897854,-2.227388022275949,1.5393645224639656e-10,2070,152,NA,Kerala,2020
gp_ward,district,graduate_plus,0.01960588669141431,0.01284780151773691,-0.00815010101195959,0.04736187439478823,0.15096271422525093,13457,14,NA,Kerala,2020
gp_ward,district,age,-3.454522158852587,0.4668396683308959,-4.46306794590814,-2.445976371797034,5.195820596600882e-6,15860,14,NA,Kerala,2020
zp_member,district,graduate_plus,-0.01750683776320422,0.064096244983214,-0.15597835642190022,0.12096468089549178,0.7890414178133406,282,14,NA,Kerala,2020
zp_member,district,age,-3.61163367336663,1.1257888162417435,-6.043752545771643,-1.1795148009616176,0.00685989381467479,331,14,NA,Kerala,2020
